"filename", "language", "TypeScript", "JSON", "XML", "JavaScript", "JSON with Comments", "Markdown", "TypeScript JSX", "PostCSS", "Properties", "comment", "blank", "total"
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\RecipientRequest.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 9
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\RecurringResponse.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\RefreshRequest.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 15
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\RefreshResponse.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 25, 2, 35
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\RequestPasswordResetRequest.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 15
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\ResetPasswordRequest.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\RoleDetailResponse.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 22, 2, 32
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\RoleInfoResponse.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\RoleListItemResponse.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 22, 2, 31
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\RoleResponse.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 19, 2, 27
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\RoleUserCountResponse.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 23
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\SetActiveStatusRequest.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 15
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\SetPermissionsToRoleRequest.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 16
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\SetTagsToItemRequest.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 17
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\SetUserActiveStatusRequest.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 15
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\SetUserPasswordRequest.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\SetUserSkillsRequest.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 15
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\SkillUserCountResponse.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 23
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\SuccessResponse.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\TagDetailResponse.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 31, 2, 43
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\TagInfoResponse.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\TagResponse.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 21
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UpdateEmailRequest.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 15
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UpdateGenreRequest.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 19, 2, 27
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UpdateOrganizationRequest.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 25, 2, 35
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UpdateProfileRequest.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 19, 2, 27
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UpdateTagRequest.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 15
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UpdateWorkspaceItemRequest.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 22, 2, 31
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UpdateWorkspaceItemStatusRequest.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UpdateWorkspaceRequest.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UserListItemResponse.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 37, 2, 51
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UserResponse.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 40, 2, 57
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UserResponseUserStatisticsPagedResponse.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 28, 2, 42
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UserRoleResponse.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UserSkillResponse.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\UserStatistics.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 25, 2, 37
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\WorkspaceDetailResponse.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 40, 2, 58
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\WorkspaceItemAttachmentResponse.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 40, 2, 55
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\WorkspaceItemDetailResponse.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 79, 2, 108
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\WorkspaceItemDetailResponsePagedResponse.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 28, 2, 40
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\WorkspaceItemRelationResponse.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 40, 2, 55
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\WorkspaceItemRelationsResponse.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 24
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\WorkspaceItemResponse.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 21
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\WorkspaceListItemResponse.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 49, 2, 68
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\WorkspaceListItemResponseWorkspaceStatisticsPagedResponse.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 28, 2, 42
